PETR 3070, 36975.0, MW, 09:00 AM - 09:50 AM, 3.0, PETR 3070 - Formation Evaluation (M/W 09:00 AM - 09:50 AM)
PETR 4013, 36977.0, TR, 12:30 PM - 01:45 PM, 3.0, PETR 4013 - Well Design (T/R 12:30 PM - 01:45 PM)
PETR 4025, 36978.0, MW, 10:00 AM - 10:50 AM, 3.0, PETR 4025 - Well Completion (M/W 10:00 AM - 10:50 AM)
PETR 4025L, 36979.0, T, 02:00 PM - 04:30 PM, 1.0, PETR 4025L - Well Completions Lab (T 02:00 PM - 04:30 PM)
PETR 4045, 36980.0, MWF, 01:00 PM - 01:50 PM, 3.0, PETR 4045 - Reservoir Engineering II (M/W/F 01:00 PM - 01:50 PM)
PETR 4050, 36981.0, TR, 09:30 AM - 10:45 AM, 3.0, PETR 4050 - Well Performance (T/R 09:30 AM - 10:45 AM)
PETR 4072, 36982.0, W, 02:00 PM - 05:00 PM, 3.0, PETR 4072 - Capstone Design II (W 02:00 PM - 05:00 PM)
PETR 5071, 36480.0, T, 08:00 AM - 10:50 AM, 3.0, PETR 5071 - Drilling & Design for Geother  (T 08:00 AM - 10:50 AM)
PETR 5071, 36481.0, R, 08:00 AM - 10:50 AM, 3.0, PETR 5071 - Data analytics (R 08:00 AM - 10:50 AM)
PETR 5071, 37181.0, TR, 11:00 AM - 12:15 PM, 3.0, PETR 5071 - Reservoir Uncertainty Mgmt (T/R 11:00 AM - 12:15 PM)
ME 3080, 37560.0, TR, 09:30 AM - 10:45 AM, 3.0, ME 3080 - Surface Mine Design (T/R 09:30 AM - 10:45 AM)
ME 3081, 37561.0, MW, 09:00 AM - 10:15 AM, 3.0, ME 3081 - Underground Mine Design (M/W 09:00 AM - 10:15 AM)
ME 4010, 36988.0, MW, 03:00 PM - 04:15 PM, 3.0, ME 4010 - Environmental Issues (M/W 03:00 PM - 04:15 PM)
ME 4013, 36989.0, TR, 11:00 AM - 12:15 PM, 3.0, ME 4013 - Foundation Engineering (T/R 11:00 AM - 12:15 PM)
ME 4022, 36990.0, MW, 11:00 AM - 12:15 PM, 3.0, ME 4022 - Rock Mechanics (M/W 11:00 AM - 12:15 PM)
ME 4025, 36991.0, MW, 01:00 PM - 02:15 PM, 3.0, ME 4025 - Occ Hlth & Safety, Prof Respon (M/W 01:00 PM - 02:15 PM)
ME 4037, 36992.0, MW, 09:30 AM - 10:45 AM, 3.0, ME 4037 - Tunneling & Undergrnd Excavatn (M/W 09:30 AM - 10:45 AM)
ME 5008, 37420.0, MW, 11:00 AM - 12:15 PM, 3.0, ME 5008 - Rock Mechanics (M/W 11:00 AM - 12:15 PM)
ME 5011, 37004.0, TR, 09:30 AM - 10:45 AM, 3.0, ME 5011 - Mineral Economics (T/R 09:30 AM - 10:45 AM)
ME 5023, 37009.0, TR, 02:00 PM - 04:30 PM, 3.0, ME 5023 - Ore Petrography (T/R 02:00 PM - 04:30 PM)
ME 5031, 37011.0, TR, 11:00 AM - 12:15 PM, 3.0, ME 5031 - Adv. Foundation Design & Analy (T/R 11:00 AM - 12:15 PM)
ME 5037, 37017.0, MW, 09:30 AM - 10:45 AM, 3.0, ME 5037 - Des & Cons of Underground Open (M/W 09:30 AM - 10:45 AM)
ME 5041, 37015.0, TR, 09:30 AM - 10:45 AM, 3.0, ME 5041 - Ground Improvement (T/R 09:30 AM - 10:45 AM)
ME 5063, 37018.0, TR, 11:00 AM - 12:15 PM, 3.0, ME 5063 - Field Studies-Hydrothermal Alt (T/R 11:00 AM - 12:15 PM)
ME 5072, 36272.0, M, 04:00 PM - 05:00 PM, 1.0, ME 5072 - Graduate Seminar (M 04:00 PM - 05:00 PM)
ME 5089, 36282.0, M, 12:00 PM - 01:30 PM, 3.0, ME 5089 - International Field Course (M 12:00 PM - 01:30 PM)
MGMT 0289, 37542.0, TR, 11:00 AM - 12:15 PM, 3.0, MGMT 0289 - Principles of Management (T/R 11:00 AM - 12:15 PM)
MGMT 4062, 37357.0, M, 05:00 PM - 08:00 PM, 3.0, MGMT 4062 - Sys Risk & Decision Analy (M 05:00 PM - 08:00 PM)
MGMT 4076, 36916.0, T, 05:00 PM - 08:00 PM, 3.0, MGMT 4076 - Engineering Project Management (T 05:00 PM - 08:00 PM)
MGMT 4081, 37152.0, MW, 02:00 PM - 03:15 PM, 3.0, MGMT 4081 - Senior Seminar Technical Mgmt (M/W 02:00 PM - 03:15 PM)
MGMT 4086, 37154.0, TR, 03:30 PM - 04:45 PM, 3.0, MGMT 4086 - Business Policy/Corp. Strategy (T/R 03:30 PM - 04:45 PM)
MGMT 4089, 37358.0, W, 05:00 PM - 08:00 PM, 3.0, MGMT 4089 - Technology Marketing (W 05:00 PM - 08:00 PM)
PHYS 0289L, 37382.0, M, 02:00 PM - 02:50 PM, 1.0, PHYS 0289L - NASA Here to Observe Lab (M 02:00 PM - 02:50 PM)
PHYS 1113, 37566.0, TR, 08:00 AM - 09:15 AM, 3.0, PHYS 1113 - Physics for Everyone (T/R 08:00 AM - 09:15 AM)
PHYS 1113L, 37567.0, R, 11:00 AM - 01:00 PM, 1.0, PHYS 1113L - Special Topics in Physics Lab (R 11:00 AM - 01:00 PM)
PHYS 1310, 36017.0, TR, 09:30 AM - 10:45 AM, 4.0, PHYS 1310 - g:Calculus-based Physics I (T/R 09:30 AM - 10:45 AM)
PHYS 1310, 36018.0, TR, 09:30 AM - 10:45 AM, 4.0, PHYS 1310 - g:Calculus-based Physics I (T/R 09:30 AM - 10:45 AM)
PHYS 1310, 36019.0, TR, 09:30 AM - 10:45 AM, 4.0, PHYS 1310 - g:Calculus-based Physics I (T/R 09:30 AM - 10:45 AM)
PHYS 1310, 36020.0, MWF, 11:00 AM - 11:50 AM, 4.0, PHYS 1310 - g:Calculus-based Physics I (M/W/F 11:00 AM - 11:50 AM)
PHYS 1310, 36021.0, MWF, 11:00 AM - 11:50 AM, 4.0, PHYS 1310 - g:Calculus-based Physics I (M/W/F 11:00 AM - 11:50 AM)
PHYS 1310, 36022.0, MWF, 11:00 AM - 11:50 AM, 4.0, PHYS 1310 - g:Calculus-based Physics I (M/W/F 11:00 AM - 11:50 AM)
PHYS 1310L, 36023.0, M, 02:00 PM - 04:20 PM, 1.0, PHYS 1310L - Calculus-based Physics I Lab (M 02:00 PM - 04:20 PM)
PHYS 1310L, 36024.0, M, 04:30 PM - 06:50 PM, 1.0, PHYS 1310L - Calculus-based Physics I Lab (M 04:30 PM - 06:50 PM)
PHYS 1310L, 36025.0, T, 02:00 PM - 04:20 PM, 1.0, PHYS 1310L - Calculus-based Physics I Lab (T 02:00 PM - 04:20 PM)
HUMN 0189, 37713.0, MTWRF, 11:00 AM - 12:00 PM, 3.0, HUMN 0189 - NM Intro to Humanities (M/T/W/R/F 11:00 AM - 12:00 PM)
PHYS 1310L, 36026.0, T, 05:00 PM - 07:20 PM, 1.0, PHYS 1310L - Calculus-based Physics I Lab (T 05:00 PM - 07:20 PM)
PHYS 1310L, 36027.0, W, 02:00 PM - 04:20 PM, 1.0, PHYS 1310L - Calculus-based Physics I Lab (W 02:00 PM - 04:20 PM)
PHYS 1310L, 36028.0, R, 02:00 PM - 04:20 PM, 1.0, PHYS 1310L - Calculus-based Physics I Lab (R 02:00 PM - 04:20 PM)
PHYS 1320, 36030.0, MWF, 10:00 AM - 10:50 AM, 4.0, PHYS 1320 - Calculus-based Physics II (M/W/F 10:00 AM - 10:50 AM)
PHYS 1320, 36031.0, MWF, 10:00 AM - 10:50 AM, 4.0, PHYS 1320 - Calculus-based Physics II (M/W/F 10:00 AM - 10:50 AM)
PHYS 1320, 36032.0, MWF, 10:00 AM - 10:50 AM, 4.0, PHYS 1320 - Calculus-based Physics II (M/W/F 10:00 AM - 10:50 AM)
PHYS 1320, 37206.0, TR, 11:00 AM - 12:15 PM, 4.0, PHYS 1320 - Calculus-based Physics II (T/R 11:00 AM - 12:15 PM)
PHYS 1320, 36079.0, TR, 11:00 AM - 12:15 PM, 4.0, PHYS 1320 - Calculus-based Physics II (T/R 11:00 AM - 12:15 PM)
PHYS 1320, 36197.0, TR, 11:00 AM - 12:15 PM, 4.0, PHYS 1320 - Calculus-based Physics II (T/R 11:00 AM - 12:15 PM)
PHYS 1320L, 36033.0, M, 02:00 PM - 04:20 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (M 02:00 PM - 04:20 PM)
PHYS 1320L, 36034.0, M, 04:30 PM - 06:50 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (M 04:30 PM - 06:50 PM)
PHYS 1320L, 36035.0, T, 02:00 PM - 04:20 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (T 02:00 PM - 04:20 PM)
PHYS 1320L, 36036.0, T, 05:00 PM - 07:20 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (T 05:00 PM - 07:20 PM)
PHYS 1320L, 36037.0, W, 02:00 PM - 04:20 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (W 02:00 PM - 04:20 PM)
PHYS 1320L, 36038.0, W, 04:30 PM - 06:50 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (W 04:30 PM - 06:50 PM)
IT 107, 36011.0, MWF, 01:00 PM - 01:50 PM, 4.0, IT 107 - Intro to Programming Python (M/W/F 01:00 PM - 01:50 PM)
IT 113, 36006.0, MWF, 02:00 PM - 02:50 PM, 4.0, IT 113 - Introduction to Programming (M/W/F 02:00 PM - 02:50 PM)
IT 122, 36002.0, MWF, 11:00 AM - 11:50 AM, 3.0, IT 122 - Data Structure and Algorithms (M/W/F 11:00 AM - 11:50 AM)
IT 213, 36914.0, MWF, 09:00 AM - 09:50 AM, 3.0, IT 213 - Intro Obj Oriented Programming (M/W/F 09:00 AM - 09:50 AM)
IT 3026, 36892.0, TR, 03:30 PM - 04:45 PM, 3.0, IT 3026 - Software Engineering (T/R 03:30 PM - 04:45 PM)
IT 3063, 36896.0, TR, 09:30 AM - 10:45 AM, 3.0, IT 3063 - Computer Security (T/R 09:30 AM - 10:45 AM)
IT 3073, 36898.0, TR, 02:00 PM - 03:15 PM, 3.0, IT 3073 - Intro to Database Systems (T/R 02:00 PM - 03:15 PM)
IT 3082, 36900.0, MWF, 11:00 AM - 11:50 AM, 3.0, IT 3082 - Ethics of Computing and IT (M/W/F 11:00 AM - 11:50 AM)
IT 3082, 36903.0, MWF, 01:00 PM - 01:50 PM, 3.0, IT 3082 - Ethics of Computing and IT (M/W/F 01:00 PM - 01:50 PM)
IT 4062, 37356.0, M, 05:00 PM - 08:00 PM, 3.0, IT 4062 - Sys Risk & Decision Anal (M 05:00 PM - 08:00 PM)
IT 4066, 36915.0, T, 05:00 PM - 08:00 PM, 3.0, IT 4066 - Project Management (T 05:00 PM - 08:00 PM)
IT 4082, 36918.0, T, 12:30 PM - 02:00 PM, 3.0, IT 4082 - Senior IT Design Project (T 12:30 PM - 02:00 PM)
MENG 210, 36643.0, TR, 11:00 AM - 12:15 PM, 2.0, MENG 210 - Sophomore Design&Measurements (T/R 11:00 AM - 12:15 PM)
MENG 210L, 36644.0, M, 12:15 PM - 02:45 PM, 1.0, MENG 210L - Soph Design & Measure Lab (M 12:15 PM - 02:45 PM)
MENG 210L, 36645.0, F, 03:00 PM - 05:30 PM, 1.0, MENG 210L - Soph Design & Measure Lab (F 03:00 PM - 05:30 PM)
MENG 3002L, 36647.0, M, 03:00 PM - 05:30 PM, 1.0, MENG 3002L - Mechanics of Materials Lab (M 03:00 PM - 05:30 PM)
MENG 3002L, 36648.0, W, 02:00 PM - 04:30 PM, 1.0, MENG 3002L - Mechanics of Materials Lab (W 02:00 PM - 04:30 PM)
MENG 3002L, 36649.0, F, 12:00 PM - 02:30 PM, 1.0, MENG 3002L - Mechanics of Materials Lab (F 12:00 PM - 02:30 PM)
MENG 3004, 36650.0, TR, 08:00 AM - 09:15 AM, 3.0, MENG 3004 - Advanced Strength of Materials (T/R 08:00 AM - 09:15 AM)
MENG 3005, 36651.0, MWF, 01:00 PM - 01:50 PM, 3.0, MENG 3005 - Numerical Methods & Analysis (M/W/F 01:00 PM - 01:50 PM)
MENG 3041, 37396.0, MWF, 10:00 AM - 10:50 AM, 3.0, MENG 3041 - Technical writing (M/W/F 10:00 AM - 10:50 AM)
MENG 3081, 36653.0, T, 03:30 PM - 04:45 PM, 2.0, MENG 3081 - Jr Eng Design Clinic I (T 03:30 PM - 04:45 PM)
MENG 3082, 36656.0, T, 03:30 PM - 04:45 PM, 2.0, MENG 3082 - Jr Eng Design Clinic II (T 03:30 PM - 04:45 PM)
MENG 4005, 36659.0, TR, 12:30 PM - 01:45 PM, 2.0, MENG 4005 - Dynamic Systems & Controls (T/R 12:30 PM - 01:45 PM)
MENG 4005L, 36660.0, M, 03:00 PM - 05:30 PM, 1.0, MENG 4005L - Dynamic Systems & Controls Lab (M 03:00 PM - 05:30 PM)
MENG 4005L, 36661.0, F, 12:00 PM - 02:30 PM, 1.0, MENG 4005L - Dynamic Systems & Controls Lab (F 12:00 PM - 02:30 PM)
MENG 4021, 36663.0, TR, 11:00 AM - 12:15 PM, 2.0, MENG 4021 - Finite Elem Analysis & Design (T/R 11:00 AM - 12:15 PM)
MENG 4021L, 36664.0, W, 08:00 AM - 10:30 AM, 1.0, MENG 4021L - Finite Elem Analy & Design Lab (W 08:00 AM - 10:30 AM)
MATH 0289, 36093.0, MWF, 11:00 AM - 12:05 PM, 1.0, MATH 0289 - Vector Calculus (M/W/F 11:00 AM - 12:05 PM)
MATH 0289, 36094.0, MWF, 12:45 PM - 01:50 PM, 1.0, MATH 0289 - Vector Calculus (M/W/F 12:45 PM - 01:50 PM)
MATH 1220, 36040.0, MWF, 11:00 AM - 11:50 AM, 3.0, MATH 1220 - College Algebra (M/W/F 11:00 AM - 11:50 AM)
MATH 1230, 36046.0, MWF, 02:00 PM - 02:50 PM, 3.0, MATH 1230 - Trigonometry (M/W/F 02:00 PM - 02:50 PM)
MATH 1230, 36047.0, MWF, 01:00 PM - 01:50 PM, 3.0, MATH 1230 - Trigonometry (M/W/F 01:00 PM - 01:50 PM)
MATH 1240, 36041.0, MWF, 09:00 AM - 09:50 AM, 3.0, MATH 1240 - Pre-Calculus (M/W/F 09:00 AM - 09:50 AM)
MATH 1240, 36042.0, MWF, 10:00 AM - 10:50 AM, 3.0, MATH 1240 - Pre-Calculus (M/W/F 10:00 AM - 10:50 AM)
MATH 1510, 36080.0, MWF, 11:00 AM - 11:50 AM, 4.0, MATH 1510 - g: Calculus I (M/W/F 11:00 AM - 11:50 AM)
HUMN 0189, 37713.0, MTWRF, 11:00 AM - 12:00 PM, 3.0, HUMN 0189 - NM Intro to Humanities (M/T/W/R/F 11:00 AM - 12:00 PM)
HUMN 1230, 37381.0, TR, 11:00 AM - 12:15 PM, 3.0, HUMN 1230 - g:Sci-Fi Dystopia (T/R 11:00 AM - 12:15 PM)
MTLS 202, 36402.0, TR, 09:30 AM - 10:45 AM, 3.0, MTLS 202 - Materials Engineering I (T/R 09:30 AM - 10:45 AM)
MTLS 202L, 36403.0, M, 02:00 PM - 04:50 PM, 1.0, MTLS 202L - Materials Engineering I Lab (M 02:00 PM - 04:50 PM)
MTLS 202L, 36406.0, T, 02:00 PM - 04:45 PM, 1.0, MTLS 202L - Materials Engineering I Lab (T 02:00 PM - 04:45 PM)
MTLS 202L, 36410.0, W, 02:00 PM - 04:50 PM, 1.0, MTLS 202L - Materials Engineering I Lab (W 02:00 PM - 04:50 PM)
MTLS 202L, 36413.0, R, 02:00 PM - 04:50 PM, 1.0, MTLS 202L - Materials Engineering I Lab (R 02:00 PM - 04:50 PM)
MTLS 235, 36929.0, TR, 11:00 AM - 12:15 PM, 3.0, MTLS 235 - Materials Engineering II (T/R 11:00 AM - 12:15 PM)
MTLS 235L, 36932.0, T, 02:00 PM - 04:30 PM, 1.0, MTLS 235L - Materials Engineering II Lab (T 02:00 PM - 04:30 PM)
MTLS 235L, 37639.0, R, 02:00 PM - 04:30 PM, 1.0, MTLS 235L - Materials Engineering II Lab (R 02:00 PM - 04:30 PM)
MTLS 3011, 36933.0, TR, 02:00 PM - 03:15 PM, 3.0, MTLS 3011 - Therm & Mech Meth & Analysis (T/R 02:00 PM - 03:15 PM)
MTLS 3014, 36934.0, MWF, 09:00 AM - 09:50 AM, 3.0, MTLS 3014 - Transport Processes (M/W/F 09:00 AM - 09:50 AM)
MTLS 3027, 36935.0, MWF, 10:00 AM - 10:50 AM, 3.0, MTLS 3027 - Intro to Physical Metallurgy (M/W/F 10:00 AM - 10:50 AM)
MTLS 3027, 36936.0, MWF, 10:00 AM - 10:50 AM, 3.0, MTLS 3027 - Intro to Physical Metallurgy (M/W/F 10:00 AM - 10:50 AM)
MTLS 3051, 36937.0, MWF, 01:00 PM - 01:50 PM, 3.0, MTLS 3051 - Intro to Polymeric Materials (M/W/F 01:00 PM - 01:50 PM)
MTLS 4052, 37392.0, MWF, 11:00 AM - 11:50 AM, 3.0, MTLS 4052 - Solid State Pysics for Eng (M/W/F 11:00 AM - 11:50 AM)
MTLS 4052, 37384.0, MWF, 11:00 AM - 11:50 AM, 3.0, MTLS 4052 - Solid State Physics for Eng (M/W/F 11:00 AM - 11:50 AM)
MTLS 4082, 36940.0, MW, 10:00 AM - 10:50 AM, 2.0, MTLS 4082 - Engineering Design II (M/W 10:00 AM - 10:50 AM)
MTLS 4082L, 36941.0, F, 10:00 AM - 10:50 AM, 1.0, MTLS 4082L - Engineering Design II Lab (F 10:00 AM - 10:50 AM)
MTLS 4083, 37385.0, MWF, 08:00 AM - 08:50 AM, 3.0, MTLS 4083 - Scanning Electronic Microsc (M/W/F 08:00 AM - 08:50 AM)
MTLS 4083, 37386.0, MWF, 08:00 AM - 08:50 AM, 3.0, MTLS 4083 - Scanning Electronic Microscopy (M/W/F 08:00 AM - 08:50 AM)
PHYS 1320L, 36039.0, R, 02:00 PM - 04:20 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (R 02:00 PM - 04:20 PM)
PHYS 1320L, 36085.0, R, 05:00 PM - 07:20 PM, 1.0, PHYS 1320L - Calculus-based Physics Lab II (R 05:00 PM - 07:20 PM)
PHYS 2251, 36993.0, MWF, 10:00 AM - 10:50 AM, 4.0, PHYS 2251 - Comprehensive Physics II (M/W/F 10:00 AM - 10:50 AM)
PHYS 2251L, 36994.0, T, 02:00 PM - 04:20 PM, 1.0, PHYS 2251L - Comprehensive Physics II Lab (T 02:00 PM - 04:20 PM)
PHYS 2251L, 36995.0, R, 02:00 PM - 04:20 PM, 1.0, PHYS 2251L - Comprehensive Physics II Lab (R 02:00 PM - 04:20 PM)
PHYS 2425, 36996.0, TR, 11:00 AM - 12:15 PM, 3.0, PHYS 2425 - Computational Physics II (T/R 11:00 AM - 12:15 PM)
PHYS 3001, 37227.0, M, 02:00 PM - 04:30 PM, 1.0, PHYS 3001 - Lab & Shop Techniques (M 02:00 PM - 04:30 PM)
PHYS 3026, 36997.0, TR, 11:00 AM - 12:15 PM, 3.0, PHYS 3026 - Astrophysics II (T/R 11:00 AM - 12:15 PM)
PHYS 3028L, 37173.0, M, 05:01 PM - 05:50 PM, 1.0, PHYS 3028L - Astronomy Laboratory (M 05:01 PM - 05:50 PM)
PHYS 3034, 36998.0, MWF, 10:00 AM - 10:50 AM, 3.0, PHYS 3034 - Radiation & Optics (M/W/F 10:00 AM - 10:50 AM)
PHYS 3036L, 37055.0, M, 02:00 PM - 04:50 PM, 1.0, PHYS 3036L - E & M Measurements Lab (M 02:00 PM - 04:50 PM)
PHYS 3036L, 37056.0, W, 02:00 PM - 04:50 PM, 1.0, PHYS 3036L - E & M Measurements Lab (W 02:00 PM - 04:50 PM)
PHYS 3036L, 37057.0, R, 02:00 PM - 04:50 PM, 1.0, PHYS 3036L - E & M Measurements Lab (R 02:00 PM - 04:50 PM)
PHYS 3040, 36999.0, TR, 12:30 PM - 01:45 PM, 3.0, PHYS 3040 - Intro to Quantum Theory (T/R 12:30 PM - 01:45 PM)
PHYS 4026, 37001.0, TR, 02:00 PM - 03:15 PM, 3.0, PHYS 4026 - Astrophysics IV (T/R 02:00 PM - 03:15 PM)
PHYS 4051L, 37058.0, T, 03:00 PM - 05:20 PM, 2.0, PHYS 4051L - Senior Lab (T 03:00 PM - 05:20 PM)
PHYS 4051L, 37059.0, W, 02:00 PM - 04:20 PM, 2.0, PHYS 4051L - Senior Lab (W 02:00 PM - 04:20 PM)
PHYS 4089, 36787.0, MWF, 09:00 AM - 09:50 AM, 3.0, PHYS 4089 - Intro to Nuclear Science (M/W/F 09:00 AM - 09:50 AM)
PHYS 4089L, 37060.0, F, 01:00 PM - 03:20 PM, 1.0, PHYS 4089L - Nuclear Physics Lab (F 01:00 PM - 03:20 PM)
HIST 1160, 37126.0, MWF, 01:00 PM - 01:50 PM, 3.0, HIST 1160 - g:Western Civilization II (M/W/F 01:00 PM - 01:50 PM)
HIST 3075, 37127.0, MWF, 12:00 PM - 12:50 PM, 3.0, HIST 3075 - g:Ancnt&Med Found Science&Tech (M/W/F 12:00 PM - 12:50 PM)
HIST 3089, 37128.0, MWF, 10:00 AM - 10:50 AM, 3.0, HIST 3089 - g:Medieval Europe (M/W/F 10:00 AM - 10:50 AM)
HYDR 5008, 36883.0, TR, 08:00 AM - 09:15 AM, 4.0, HYDR 5008 - Flow/Transport in Hydro Syste (T/R 08:00 AM - 09:15 AM)
HYDR 5008, 36884.0, TR, 08:00 AM - 09:15 AM, 4.0, HYDR 5008 - Flow/Transport in Hydro Syste (T/R 08:00 AM - 09:15 AM)
HYDR 5047, 37459.0, TR, 09:30 AM - 10:45 AM, 3.0, HYDR 5047 - Hydrological Modeling (T/R 09:30 AM - 10:45 AM)
HYDR 5047, 37460.0, TR, 09:30 AM - 10:45 AM, 3.0, HYDR 5047 - Hydrological Modeling (T/R 09:30 AM - 10:45 AM)
HYDR 5055, 37576.0, TR, 02:00 PM - 03:15 PM, 3.0, HYDR 5055 - Rock Fracture in Geol Settings (T/R 02:00 PM - 03:15 PM)
HYDR 5055, 37577.0, TR, 02:00 PM - 03:15 PM, 3.0, HYDR 5055 - Rock Fracture in Geol Settings (T/R 02:00 PM - 03:15 PM)
HYDR 5058, 37514.0, TR, 12:30 PM - 01:45 PM, 3.0, HYDR 5058 - Environmental Tracers in Hydro (T/R 12:30 PM - 01:45 PM)
HYDR 5058, 37516.0, TR, 12:30 PM - 01:45 PM, 3.0, HYDR 5058 - Environmental Tracers in Hydro (T/R 12:30 PM - 01:45 PM)
HYDR 5071, 37569.0, TR, 11:00 AM - 12:15 PM, 3.0, HYDR 5071 - Advanced Topics in Hydrology (T/R 11:00 AM - 12:15 PM)
HYDR 5072, 37589.0, W, 02:00 PM - 02:50 PM, 1.0, HYDR 5072 - Philosophy for Scientists (W 02:00 PM - 02:50 PM)
HYDR 5089, 37461.0, W, 03:00 PM - 03:50 PM, 1.0, HYDR 5089 - Fundamentals of Sci. Computing (W 03:00 PM - 03:50 PM)
HYDR 5089, 37462.0, TR, 11:00 AM - 12:15 PM, 3.0, HYDR 5089 - Marine Hydrology (T/R 11:00 AM - 12:15 PM)
MENG 4021L, 36678.0, F, 03:00 PM - 05:30 PM, 1.0, MENG 4021L - Finite Elem Analy & Design Lab (F 03:00 PM - 05:30 PM)
MENG 4031, 37397.0, MWF, 08:00 AM - 08:50 AM, 2.0, MENG 4031 - Fluid & Thermal Systems (M/W/F 08:00 AM - 08:50 AM)
MENG 4031L, 36680.0, T, 02:00 PM - 04:30 PM, 1.0, MENG 4031L - Fluid & Thermal Systems Lab (T 02:00 PM - 04:30 PM)
MENG 4031L, 36684.0, W, 02:00 PM - 04:30 PM, 1.0, MENG 4031L - Fluid & Thermal Systems Lab (W 02:00 PM - 04:30 PM)
MENG 4041, 36692.0, TR, 09:30 AM - 10:45 AM, 3.0, MENG 4041 - Dynam/Vibrat in Struc Design (T/R 09:30 AM - 10:45 AM)
MENG 4051, 36695.0, MW, 11:00 AM - 12:15 PM, 3.0, MENG 4051 - Design of Machine Elements (M/W 11:00 AM - 12:15 PM)
MENG 4081, 36700.0, R, 03:30 PM - 04:45 PM, 3.0, MENG 4081 - Senior Eng Design Clinic I (R 03:30 PM - 04:45 PM)
MENG 4082, 36706.0, R, 03:30 PM - 04:45 PM, 3.0, MENG 4082 - Senior Engr Design Clinic II (R 03:30 PM - 04:45 PM)
MENG 4083, 36710.0, TR, 08:00 AM - 09:15 AM, 2.0, MENG 4083 - Mechatronics (T/R 08:00 AM - 09:15 AM)
MENG 4083L, 36711.0, M, 09:00 AM - 11:30 AM, 1.0, MENG 4083L - Mechatronics Lab (M 09:00 AM - 11:30 AM)
MENG 4083L, 36712.0, F, 09:00 AM - 11:30 AM, 1.0, MENG 4083L - Mechatronics Lab (F 09:00 AM - 11:30 AM)
MENG 4089, 37398.0, TR, 02:00 PM - 03:15 PM, 3.0, MENG 4089 - Adv. Manufact. & Multifunction (T/R 02:00 PM - 03:15 PM)
MENG 4089, 36691.0, TR, 12:30 PM - 01:45 PM, 3.0, MENG 4089 - Advanced Fluid Mechanics (T/R 12:30 PM - 01:45 PM)
MENG 4089, 36694.0, W, 08:00 AM - 10:30 AM, 1.0, MENG 4089 - Machining & Metal Work Tech (W 08:00 AM - 10:30 AM)
MENG 4089, 37071.0, W, 11:00 AM - 01:30 PM, 1.0, MENG 4089 - Machining & Metal Work Tech (W 11:00 AM - 01:30 PM)
MENG 4089, 37072.0, W, 02:30 PM - 04:30 PM, 1.0, MENG 4089 - Machining & Metal Work Tech (W 02:30 PM - 04:30 PM)
MENG 4089, 37205.0, TR, 08:00 AM - 09:15 AM, 3.0, MENG 4089 - Senior Technology (T/R 08:00 AM - 09:15 AM)
MENG 4089, 37399.0, MWF, 12:00 PM - 12:50 PM, 3.0, MENG 4089 - Design & Analysis Experiments (M/W/F 12:00 PM - 12:50 PM)
MATH 1510, 36051.0, MWF, 01:00 PM - 01:50 PM, 4.0, MATH 1510 - g: Calculus I (M/W/F 01:00 PM - 01:50 PM)
MATH 1520, 36054.0, MWF, 11:00 AM - 12:15 PM, 4.0, MATH 1520 - g: Calculus II (M/W/F 11:00 AM - 12:15 PM)
MATH 1520, 36055.0, MWF, 12:35 PM - 01:50 PM, 4.0, MATH 1520 - g: Calculus II (M/W/F 12:35 PM - 01:50 PM)
MATH 1520A, 37258.0, MWR, 04:00 PM - 05:15 PM, 4.0, MATH 1520A - g: Calc II Extended (part 1) (M/W/R 04:00 PM - 05:15 PM)
MATH 1520B, 37259.0, MWR, 08:00 AM - 09:15 AM, 2.0, MATH 1520B - g: Calc II Extended (Part 2) (M/W/R 08:00 AM - 09:15 AM)
MATH 2350, 36058.0, MWF, 10:00 AM - 10:50 AM, 3.0, MATH 2350 - Statistical Methods (M/W/F 10:00 AM - 10:50 AM)
MATH 2420, 36057.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 2420 - Applied Linear Algebra (T/R 09:30 AM - 10:45 AM)
MATH 2532, 36084.0, MWF, 11:00 AM - 12:05 PM, 4.0, MATH 2532 - Calculus III (M/W/F 11:00 AM - 12:05 PM)
MATH 2532, 36056.0, MWF, 12:45 PM - 01:50 PM, 4.0, MATH 2532 - Calculus III (M/W/F 12:45 PM - 01:50 PM)
MATH 3032, 36948.0, MWF, 03:00 PM - 03:50 PM, 3.0, MATH 3032 - Vector Analysis (M/W/F 03:00 PM - 03:50 PM)
MATH 3035, 36219.0, TR, 09:30 AM - 10:45 AM, 3.0, MATH 3035 - Ordinary Differential Equation (T/R 09:30 AM - 10:45 AM)
MATH 3035, 36220.0, MWF, 10:00 AM - 10:50 AM, 3.0, MATH 3035 - Ordinary Differential Equation (M/W/F 10:00 AM - 10:50 AM)
